sentiment	review_text
neg	Péssimo. Comprei desde o dia 4/12 e ate agora nem mesmo a nota fiscal eletrônica foi emitida. Estou achando que cai num golpe. Quero meu dinheiro de volta.Absurdo a lojas <empresa> permitir que esses sites sem credibilidades usem seu espaço para vendas. Estou extremamente chateada, pois nem mesmo uma ligação ou e-mail eu recebi para me esclarecerem o q esta ocorrendo com minha compra. Irei para justiça.
pos	Notebook muito bom, leve e fácil de manusear. Super recomendado.
pos	faz quase um mes que comprei esse notebook, e o que eu tenho a dizer, super recomendo, perfeito, rapido e com um lindo designer..
pos	Produto muito bom! Mas poderia ter leitor de CD... :(  <empresa> está de parabéns pela agilidade na entrega!!!
pos	A loja tem um atendimento ótimo e o produto chega antes do combinado.
pos	Monto computadores há anos, e escolhi este como melhor relação custo benefício. Há modelos superiores mas de custo elevado. Para tarefas comuns até edição básica de vídeo este serve bem. Para games e edição avançada só maquinas com valor 50% superior.
pos	Foi presente de Natal para a filha que ficou encantada.
pos	Gostei muito do produto! A inicialização é rápida, bateria dura cerca de 7 horas dependendo do uso, tela linda e de ótimo tamanho.
pos	Produto excelente, mas quase não compro devido ao elevado valor do frete. UM ABSURDO. R$128,00
pos	Produto entregue dentro do prazo estipulado. Equipamento cumpre o prometido nas propagandas.
pos	Computador show, fiquei impressionado com a responsabilidade dessa impressa a entrega é rápido mesmo. Só q tem site q acha mais barato.
pos	Chegou hj, é lindo, leve, e muito rápido, estava previsto para chegar dia 19, tenho que parabenizar a <empresa> pela entrega, muito ágil, quanto ao note, só amores.
pos	Muito satisfeito e fui muito bem atendido pela garantia dell.
pos	É exatamento como o descritivo! super recomendo, e o preço aqui foi bem mais em conta!
pos	Produto ótimo. Exatamente o que buscava. O prazo de entrega foi antecipado. Embalagem bem protetora. Recomendo fortemente
pos	Produto leve,  excelente para viajar, bateria dura bastante, um otimo produto.
pos	Produto de ótima qualidade, a duração da bateria é incrível!
neg	Comprei a quase 2 meses e não efetuaram a entrega, hoje 05/01 já me cobraram 2 parcelas e nada de entregar meu produto.
pos	Comprei esse notebook para jogar e até agora está me atendendo muito bem! Bateria dura bastante, to amando!
pos	Produto veio antes do prazo. Chegou abrimos e foi súper fácil de configurar, funciona muito bem. Para entrar na internet e editar arquivos do Office é show! Muito bom!
neg	Infelizmente, devolvi o produto, estava com defeito. Felizmente, consegui devolvê-lo, recebi SMS que será cancelada a compra. Somente terei certeza ao receber a fatura.
pos	Não é um PC Gamer, mas até agora, aguentou bem tudo o que fiz... tenho que usar mais para chegar numa conclusão final
pos	Excelente produto, preço competitivo, entrega rápida, recomendo!!!!
pos	PRODUTO SENSACIONAL PADRÃO VAIO, MUITA QUALIDADE E MUITO DESEMPENHO
pos	Produto enviado conforme combinado. Prazo correto.
pos	O PRODUTO EM SI É OTIMO, MAS DEIXOU A DESEJAR POIS NÃO TEM EN TRADA PARA CABO DE REDE
pos	superou minhas expectativas e é um note gamer que tem um preço muito acessível. chega a rodar ate PUBG.
pos	Atendeu minhas expectativas, tamanho, peso, acabamentos, recomendo
pos	Adquiri a R$ 1765,00 e não tenho do que reclamar, exceto talvez pela posição de algumas teclas que são um pouco confusas. Quanto ao hardware, excelente.
pos	Excelente notebook, comprei 10 unidades para minha empresa.
pos	RAPIDO, BATERIA DURA MUITO, AS PORTAS ESTÃO NA PARTE DE TRAS DAS LATERAIS ISSO AJUDA MUITO , ACER SEMPRE FOI BOA É MEU SEGUNDO NOTE EU RECOMENDO
pos	Meu filho está amando, falou que é excelente consegue executar várias páginas ao mesmo tempo!
pos	MUITO LEVE E PRATICO FÁCIL DE LEVA, ÓTIMO PRA TRABALHOS DE FACULDADE.
pos	atende perfeitamente aos meus interesses. chegou antes do previsto.
pos	Ótimo equipamento com um custo benefício muito bom. Ideal para tarefas do dia a dia.
pos	Excelente notebook, muito bonito e rápido, bateria muito boa e roda grande maioria dos jogos atuais
pos	produto muito bom, estou muito feliz com minha aquisição chegou antes da data prevista da entrega
pos	chegou super rápido é perfeito para o q eu precisava
pos	Pc atende as expectativas, mas a resolução da tela dele n eh a das mais top... mas da pra jogar de boa
pos	Achei ele muito prático, leve e com ótimo desempenho. Gostaria de comentar sobre a entrega, que foi excepcional.
neg	Recebi dia 20/11, no dia 02/12 não ligou mais, apenas conectado à tomada. Entrei em contato, levei para autorizada dia 05/12/17 e ao receber e fazer a vistoria já não ligava nem na tomada. Hoje, 30 dias depois, a única informação pelo site da Positivo é que está em manutenção, ligando na autorizada foi me dito que o problema é na bateria. Não quero mais o produto e não recomendo. Aguardando solução ainda.
pos	Notebook bom e rápido, tem um HD espaçoso e uma configuração que atende muito bem para o trabalho diário.  Recomendo a todos para estudos e tarefas normais, como acessar a internet e ver filmes em alta definição
pos	O produto, até o momento não apresentou problemas, tem ótimo desempenho inclusive em jogos, só a bateria que não aguenta muito tempo em jogos, de resto até o momento atendeu minhas expectativas.
neg	Quanto ao atendimento da loja tudo ok,porem não tive sucesso com o produto ,pois o mesmo apresentou defeito (na abertura da 2ª janela ocorre travamento).
pos	Ótimo atendimento, chegou antes da data, produto em perfeitas condições, parece bem maior que nas fotos. Até agora gostei muito.
neg	Comprei de presente para minha filha. O notebook liga mas não carrega e fica o tempo todo com uma mensagem de atualização. Como moro um pouco distante dela, não tive a oportunidade de encontrá-la.
neg	1º Para instalar o Windows é terrivel e dá uma enorme trabalheira pois ele não faz boot em um pendrive bootavel comum,  tem que baixar o RUFUS porque ele é bloq de fabrica só consegue fazer boot UEFI.  2º Nem tente instalar x32 ele so aceita Windows x64, o que não faz nenhuma lógica pois o notebook só vem com 1 slot de RAM e o processador já ão é lá essas coisas.
pos	Estamos amando a tv imagem perfeita,super fácil de manusear e assistir a Netflix ficou bem melhor!
pos	Ótimo produto. Vale a pena adquirir, eu recomendo. Atendeu sim todas minhas expectativas. Preço acessível!
pos	gente gostei muito.. achei o notbook certo para me ajudar nos trabalhos da faculdade.. Não tive nenhum problema com ele, já estou com ele tem 5 meses, satisfeita. Indico para quem usa Muiiito.. no trabalho e na faculdade.. ele tem 8gb e é o processador mais avançado, o Core i7 .... bom e barato.
pos	Show de bola esse not. Parabens a Samsung. Evoluiu na produção dos nots gamer.
pos	Ótimo produto, leve e rápido, bom para quem necessita de um notebook para realizar atividades cotidianas, além do mais tem um bom custo. Recomendo! Entrega rápida.
pos	Produto de alta qualidade, melhor custo-benefício entre os notebooks da mesma categoria.
pos	Produto de extrema qualidade e muito veloz. Recomendo a todos!!!
pos	O produto é ótimo e o atendimento das lojas <empresa> com relação ao custo, prazo são excelentes
neg	Produto não correspondeu minha expectativa, bateria não carregava. Computador so funcionava conectado a rede elétrica.Desfiz  o negocio.
pos	Ótimo produto com excelente prazo de entrega. O produto está com 10 dias de uso e só com mais tempo para uma avaliação melhor
pos	Apenas o prazo de entrega eu achei muito extenso, já que a mercadoria saiu de SP para entregar em SC
neg	A entrega da <empresa> foi bem rápida, o produto é bonito mas só funciona se estiver na tomada, não carrega a bateria. Pedi troca e a loja prontamente recolheu o produto com defeito e vai enviar outro.
pos	Não fica devendo absolutamente nada para marcas mais caras, a única coisa que senti falta foi do teclado retro iluminado
pos	Uma bela máquina para quem deseja alto desempenho e o melhor de tudo, um ótimo custo-benefício
neg	A loja me atendeu bem, entregou antes do previsto, mas o aparelho trava muito, é mais lento que o antigo que tinha, NÃO TEM LEITOR DE CD \ DVD, tela com reflexo, comprei para trabalhar e está me dando muito mais trabalho me acostumar com ele.
pos	produto muito bom faz uma semana que estou usando muito satisfeito recomendo.  excelente entrega, <empresa> entregou bem antes do prazo.
pos	Excelente produto, chegou antes do pravo marcado. Recomendo.
pos	Um notebook com o design bem mais bonito que eu imaginava. Desempenho maravilhoso. Entrega rápida.
pos	Superou minhas expectativas produto, leve, design bonito, fininho tela bem grande não trava com jogos, memoria cabe muitaaaaaaaaa coisa tive um Acer anterior a esse era muito bom esse melhor ainda a entrega era pro dia 03/01 Chegou dia 27/12 satisfeita com entrega.recomendo a loja e o notebook
pos	É um produto muito importante para o uso pra utilidades necessária pra boletos e.etc.
pos	Ideal para atividades em geral, Bom recurso técnico, E de armazenagem.
pos	Alguém sabe se é bom para rodar o Premiere?? Estou procurando um notebook para trabalho.
neg	O computador parecia bom, mas só funcionou conectado na tomada. Se desligava aproximadamente 5 segundos após ser desconectado da fonte! E só religava conectado! Ou seja, na prática é como se não tivesse bateria! Devolvido no mesmo dia!
neg	Notebook enviado após 3 dias de uso apresentou defeito, e o mesmo precisará ser enviado para a assistência!
neg	Olá. Notebook muito lento na leitura do HD,  caro, sem leitor de CD/DVD, resolução da tela ruim,etc. Entrega e atendimento muito complicados. Só não devolvemos o produto por causa. do nosso projeto social. No geral, eu não recomendo essa compra.
pos	Gostei muito do notebook.  É ótimo e de fácil manuseio! Chegou rapidinho!
pos	Produto muito bom, preço bom e teclado numérico me agradou bastante, embora isso deixe o notebook maior. Excelente atendimento da Dell. <empresa> , como sempre, fez a entrega antes da previsão, mesmo na época de Natal.
pos	Entre todos os produtos que pesquisei este foi o que melhor se encaixou no quesito custo/benefício e tem atendido bem as minhas necessidades.  Prós: - Silencioso - Rápido - Tela grande e confortável. - Bom acabamento - Som excelente - Roda jogos com um desempenho médio/bom  Contras: - Sinto falta de leds que sinalizem o que está ativo ou não (caps, leitura do disco, num lock...) - Drive cd/dvd
pos	Gostei muito, vale o preço q paguei 1299,90!  A bateria dura 4h, tem um som muito bom, ótimo para ver Netflix etc  Roda the Sims 4, na qualidade mais baixa, já que não é um Notebook para jogos. Mas é muito bom para oq eu preciso!!
pos	Ontem adquirido atende as expectativas do consumidor.
neg	Produto chegou com bateria danificada, devolvi para a assistência técnica há mais de 10 dias e não tive mais retorno. Quando liguei disseram que estão esperando chegar uma bateria da positivo. Estou sem minha compra. Não recomendo.
pos	Notebook muito Bom, atendeu completamente minhas expectativas.
pos	Produto muito bom,  só faltou luzes indicativas de funções ativas.
pos	A máquina é excelente, atenderá totalmente a minha necessidade. Porém, o Windows deu problema após atualização.
pos	Muito bom, recomendo.Apesar do tamanho é bem compacto e versátil.
pos	Recebi dentro do prazo, super bem embalado, dei de presente ao meu marido, que avaliou como excelente qualidade do produto, é um notebook muito bonito, leve!
pos	Rapido, bateria dura muito, as portas são muito bem distribuidas, ja tive outro acer uma marca acima de qualquer suspeita, excelente
pos	Gostei muito do notebook, do design, do peso, e dos programas instalados neste modelo q estão me atendendo muito bem. Recomendo a compra do produto pelas Lojas <empresa> que me deu suporte desde o pedido até a entrega. O produto veio no prazo e bem embalado.
pos	desingner do produto bonito, entrega da loja no tempo previsto, recomendaria a um amigo, porém, hoje me senti preocupada, precisei utilizá-lo e ele travou pela primeira vez, não sei se é normal em apenas três meses de pouco uso e ele já estar travando.
pos	o note é lindo, o tamanho é ideal, gostei muito. chegou super rapido, comprei na quarta e sabado de manha ja estava com ele. o processador dele é rapido, não trava, atende o que promete, é um bom investimento.
pos	gostei muito deste notebook, vale a pena levar para casa.
pos	Tem um desempenho bom em jogos e multitarefa, mas o HD realmente faz barulho e ele esquenta um pouco.
pos	Computador super rápido, desempenho atende perfeitamente, também bem fácil de usar, e o novo sistema do cortana ajuda muito nas tarefas de trabalho, recomendo!
pos	Notebook Excelente, alem de muito bonito tem desempenho muito bom e quase não esquenta!!
pos	Produto excelente para o seu dia a dia. Além de rápido e prático, o produto ainda é bem leve para o transporte. Excelente produto!!!
pos	O produto é bom, atende as minhas necessidades. Tem um designer bom, super fino. Gostei muito.
pos	Compra efetuada sem dificuldades e entrega rápida. Senti apenas falta de maiores informações/descrição do produto no momento da busca.
pos	Entrega pronta. Produto otimo em todos os aspectos com funcionamento muito eficaz
pos	Entrega rápida,produto excelente site super mega seguro!!!Adorei
pos	O produto é excelente e a entrega foi muito rápida. Parabéns! :)
pos	Muito lindo o produto, design moderno, muito semelhante ao visto pelo computador. A entrega atrasou um pouco, mas nada que comprometesse.
pos	Meu segundo notebook, primeiro Dell é claro, boa opção para quem estudante de cursos de Informática. Prós: design top, não esquenta muito, teclado muito bom, touchpad bom (mas prefiro um mouse bluetooth), não pesa muito comparado ao meu velho notebook LG, Sistema Linux sem problemas, pois já venho migrando desde 2016 para softwares livres. Contras: nenhum.
pos	Produto em perfeito estado e ótimo funcionamento, recomendo a todos esses produto.
pos	Ótimo custo e beneficio pela configuração, recomendo.
pos	Não comprei ainda estou esperando 60% de desconto, tenho acompanhado desde de outubro este produto não foi dado desconto ainda,  como e que fica preciso comprar. Ex: 1700,00 - 60% = 1020,00 cadê o desconto do notebook,
pos	Produto excelente, entregue no prazo, tudo de acordo com o anúncio.
pos	Esse notebook é bom para jogar jogo de tiro fps em primeira pessoa?
pos	Chegou antes do prazo. Notebook leve, rápido, não esquenta e processador muito rápido. ótimo para estudo, trabalho e alguns games.
pos	ESTOU MUITO SATISFEITO E RECOMENDO SUA COMPRA. RECEBI UM BOM APARELHO EM UM CURTO ESPAÇO DE TEMPO. ENTREGA RÁPIDA.
pos	COMPREI UM NOTEBOOK COM A EMPRESA <empresa> DA MARCA LENOVO. ALÉM DO PRODUTO POSSUIR UM ÓTIMO DESEMPENHO, A EMPRESA TAMBÉM MERECE SER CITADA PELO ÓTIMO SERVIÇO DE ENTREGA E PREÇO DO MESMO. RECOMENDO SEUS SERVIÇOS.   MANOELLA
pos	Até o momento o notebook tem se comportado muito bem, dentro das minhas expectativas.
neg	Óbvio que é uma máquina limitada, mas por enquanto tem sido útil para meu principal uso que é o produzir trabalhos acadêmidos (usando Word, Excel e ppt) e pesquisa de informações na internet. As vezes tem uma certa lentidão... fica meio travado.
neg	Comprei o produto demorou 15 dias para chegar, usei o primeiro dia, no dia seguinte só funcionava com o carregador conectado na tomada mesmo com a bateria cheia, mandei de volta já faz 15 dias e até agora não recebi outro, recebi mensagem que vai chegar no dia 24/01/18, portanto já serão 45 dias de espera, brincadeira viu.
pos	Gostei mto do produto e da entrega. Um excelente notebook gamer.
pos	Rápida entrega das lojas <empresa>, marca renomada, o produto atende as necessidades básicas, é um pouco lento para jogos por exemplo. Mas assisto netflix, youtube, videos do facebook sem travar. Como outros aparelhos de outras marcas, precisa comprar a chave para utilizar office, vem com 1 mês gratuito. Tela bem grande, sério, Recomendo pelo custo benefício.
pos	O recebimento do produto foi muito rápido, e o produto atende com satisfação a minha necessidade.
pos	Excelente notebook, muito rápido, suporta até alguns games, aplicativos de filmes e muito bom para as atividades básicas no Office. Recomendo!
pos	Prático para trabalho, fácil acesso, leve, design moderno!! Entrega antes do prazo!  Excelente custo-benefício.
neg	Pela marca e pelo equipamento, eu esperava bem mais. Achei muito lento, pra tudo! A entrega foi muito lenta também.
pos	AMEI ESSE PRODUTO, ELE É GRANDE, PROCESSADOR MUITO BOM, DESENVOLVE BEM, O SOM É MUITO LIMPO.]  SÓ NÃO SEI COMO ABRE A UNIDADE DE DISCO. NO MANUAL DIZ QUE VEM, MAS  NAO CONSEGUI ABRIR :i...ALGUÉM ME AJUDA Aí?
pos	correspondeu as minhas expectativas, foi boa a compra recomendo
pos	Excelente notebook, esperava mais da placa de vídeo, mas mesmo assim é ótimo
pos	Bom desempenho, cumpre o que promete. Chegou bem rápido, é prático e fácil de carregar, um produto bem leve.
pos	É um ótimo notebook para o dia a dia, mesmo sem a entrada para DVD, é perfeito, e por ser pequeno é bem prático. Feliz com a compra.
pos	Recomendou-lhe apresentação conforme descrito nada a reclamar
pos	comprei já tem 1 semana, funcionando perfeitamente... atende mais que minhas necessidades diarias... rápido.. bonito e tela grande.
pos	Gostei muito desse note pequeno, leve bonito e por enquanto posso dizer que ele está sendo ótimo pra mim, pouco tempo de uso, a entrega desse produto foi rapida o que me deixou feliz ja o mouse até agora nada.
neg	Não recomendo, Noteboock lento, periodicamente pede para atualizar algum programa e fica mais lento ainda. O problema não é minha internet, possuo 20 Megas.
pos	"Máquina excelente para usuários básicos e intermediários.  Notebook com design incrível (lindo), porém as linhas cromadas e o logotipo cromado abaixo da tela por vezes proporcionam reflexos incômodos.   Estudantes: Desempenho um pouco a baixo do esperado quando lhe são instalados softwares ""pesados"" de programação, cálculos e desenho (ex: MatLab, Python com as bibliotecas científicas), contradizendo o ""Aspire 5 foi pensado para quem precisa de alta performance e velocidade""."
pos	Comprei um notebook deste A515-51G-58VH na promoção de natal e paguei 10 x 219,90 sem juros, vale cada centavo, é rápido, não esquenta, a bateria dura até 6 horas se estiver só navegando e vendo vídeos, mas jogando a bateria só dura umas 2 horas, ele é leve, silencioso demais, teclado confortável para digitar, o único porém é a tela espelhada, tem muito reflexo, e não é 1280x720 e sim 1366x768, ou seja, diferente de como é anunciado em alguns sites na internet. Mas eu recomendo.
neg	Recebi o produto já faz 3 meses e 20 dias, é um computador regular, nada de espetacular, desempenho comum, todas as USBs (duas), são do mesmo lado, aliás...tudo fica do lado esquerdo, não tem entrada pra cartão, mas isso estava nas especificações e fotos. Hoje vou levá-lo à assistência técnica pois a placa de wifi, que já estava falhando, parou de funcionar de fez. Não compraria novamente, ele é um daqueles travados... com partições escondidas,difícil de trocar o sistema, e nem pode!!!! se vc ler a garantia vai descobrir que ela e torna nula se vc trocar  sistema ou usar alguma coisa que não é Samsung.
pos	Leva o peso da qualidade DELL, não da pra achar um notebook com essa configuração por esse preço.  Muito satisfeito por essa compra, confiabilidade da entrega das Lojas <empresa>.
pos	Produto muito bom conforme esperado. Entrega rápida.
pos	Gostei muito do produto, veio certinho e chegou até antes do prazo. Super indico. <3
pos	Excelente para minhas necessidades. Superou as expectativas!
neg	Com três meses de uso a placa mãe queimou e agora com cinco meses de uso a placa de vídeo está queimando, produto de péssima qualidade. Nunca pensei que a positivo estivesse tão ruim, estou decepcionada.  O produto está barato mas é como dizem: O barato sai caro.
neg	Fui muito mal atendido pelos consultores da <empresa>. Recebi meu produto com atraso, sendo que comprei este computador como uma ferramenta de trabalho.  O computador é lento e dificilmente consigo desempenhar as funções que necessito com ele.
